price,model_year,model,condition,cylinders,fuel,odometer,transmission,paint_color,is_4wd,date_posted,days_listed
600,2004,pickup,salvage,6.0,hybrid,225851.0,automatic,white,False,2022-04-01,68
5600,2014,SUV,good,4.0,gas,140555.0,automatic,white,False,2024-09-10,63
1300,2007,SUV,fair,6.0,gas,269139.0,automatic,black,False,2022-05-24,78
13500,2018,SUV,excellent,6.0,gas,70064.0,manual,white,False,2024-10-21,2
2600,2013,sedan,fair,4.0,gas,108736.0,automatic,yellow,False,2022-12-28,1
18500,2023,van,excellent,6.0,gas,19676.0,automatic,red,False,2023-06-12,64
13700,2019,SUV,good,6.0,gas,68898.0,automatic,white,False,2024-08-20,11
5100,2013,SUV,good,6.0,gas,149902.0,automatic,purple,False,2023-09-30,24
1600,2009,offroad,fair,8.0,gas,217014.0,automatic,black,False,2024-09-25,66
5900,2015,truck,fair,4.0,gas,73718.0,automatic,black,False,2022-07-03,8
500,2004,truck,salvage,6.0,gas,321077.0,manual,orange,True,2024-06-18,66
1600,2011,truck,fair,8.0,diesel,432124.0,manual,silver,False,2022-08-25,31
7700,2016,SUV,good,4.0,gas,95975.0,automatic,white,True,2024-01-13,13
13700,2020,coupe,excellent,6.0,gas,42546.0,automatic,black,False,2022-10-28,12
6700,2014,pickup,good,8.0,gas,158308.0,automatic,white,True,2023-06-28,64
600,2005,sedan,fair,6.0,gas,341370.0,automatic,white,False,2024-10-25,67
6900,2019,sedan,good,4.0,gas,77238.0,automatic,black,,2022-02-12,23
6400,2018,sedan,fair,4.0,hybrid,46904.0,automatic,black,False,2023-01-25,116
1600,2005,SUV,good,6.0,gas,222297.0,automatic,blue,True,2022-05-29,90
23900,2023,SUV,excellent,4.0,gas,12970.0,manual,,,2024-12-05,29
4100,2012,SUV,good,4.0,gas,96637.0,automatic,blue,False,2024-07-20,16
6000,2014,truck,good,,gas,140117.0,automatic,black,False,2024-05-06,24
1600,2007,pickup,fair,8.0,gas,146159.0,manual,black,True,2022-04-11,10
4200,2016,sedan,fair,4.0,gas,63823.0,manual,custom,False,2022-11-27,51
8000,2016,truck,good,6.0,diesel,116651.0,automatic,orange,False,2022-07-22,31
2800,2014,convertible,fair,6.0,gas,258032.0,automatic,white,False,2022-05-01,61
6600,2017,SUV,fair,6.0,gas,111393.0,automatic,silver,False,2024-08-04,37
500,2006,sedan,fair,4.0,gas,549496.0,automatic,black,False,2023-05-20,59
5100,2013,SUV,good,8.0,gas,118010.0,automatic,red,,2023-12-27,85
1400,2006,SUV,fair,6.0,diesel,186676.0,automatic,black,False,2024-02-29,34
2900,2013,sedan,good,4.0,gas,140827.0,manual,yellow,False,2024-06-12,21
15600,2022,sedan,excellent,4.0,gas,30394.0,automatic,custom,False,2022-01-15,61
2500,2012,van,good,6.0,gas,189644.0,automatic,white,False,2024-04-07,58
5000,2018,coupe,fair,4.0,gas,59880.0,manual,white,False,2024-09-20,3
2400,2010,truck,fair,6.0,diesel,177673.0,automatic,white,False,2022-10-12,34
1800,2011,sedan,fair,4.0,gas,149416.0,automatic,grey,False,2024-06-18,53
1800,2006,pickup,good,6.0,diesel,177545.0,manual,red,False,2024-09-02,62
10800,2017,pickup,good,6.0,diesel,110127.0,automatic,red,False,2024-06-06,79
600,1994,truck,salvage,4.0,diesel,343130.0,automatic,white,True,2022-07-15,48
12200,2018,offroad,good,4.0,hybrid,91421.0,automatic,blue,True,2022-02-03,71
5700,2015,van,good,6.0,gas,120094.0,automatic,red,True,2022-06-22,29
4500,2014,truck,fair,6.0,gas,113613.0,automatic,silver,False,2024-07-21,43
5300,2014,pickup,good,6.0,gas,169164.0,automatic,silver,False,2023-02-06,29
970,2018,sedan,good,4.0,gas,88974.0,automatic,white,False,2022-08-09,5
700,2011,sedan,salvage,4.0,gas,149722.0,automatic,red,False,2022-06-01,54
5500,2016,pickup,fair,4.0,gas,84232.0,automatic,silver,False,2024-08-15,2
8500,2018,hatchback,excellent,4.0,gas,69058.0,automatic,silver,False,2024-11-02,89
6400,2016,SUV,good,4.0,gas,126041.0,automatic,black,True,2023-11-10,44
4800,2012,convertible,good,6.0,gas,119023.0,automatic,grey,False,2023-06-12,4
800,2004,truck,fair,4.0,gas,385187.0,automatic,blue,False,2022-01-10,45
900,2009,hatchback,fair,4.0,gas,244028.0,automatic,white,False,2022-04-17,35
1900,2014,hatchback,fair,6.0,gas,199420.0,automatic,custom,False,2023-10-05,90
12800,2017,truck,excellent,8.0,diesel,81154.0,automatic,black,False,2023-04-28,90
23158,2017,coupe,good,4.0,gas,109398.0,automatic,white,False,2023-04-15,32
6700,2014,truck,good,4.0,diesel,137823.0,automatic,white,False,2022-10-11,30
26300,2021,truck,excellent,4.0,gas,39411.0,automatic,custom,True,2023-01-09,43
1300,2005,SUV,good,4.0,gas,252533.0,manual,white,False,2022-01-27,15
8900,2017,SUV,good,8.0,gas,99179.0,automatic,red,False,2024-02-22,24
6200,2017,mini-van,good,6.0,gas,99659.0,automatic,blue,False,2023-07-20,7
4600,2015,van,good,4.0,gas,171724.0,automatic,custom,False,2023-08-24,17
2400,2015,wagon,fair,4.0,gas,181541.0,automatic,red,False,2024-05-15,21
3200,2013,SUV,fair,6.0,gas,162126.0,automatic,white,False,2022-12-11,14
700,2005,coupe,fair,6.0,hybrid,270895.0,automatic,white,False,2022-12-24,35
1600,2008,coupe,good,6.0,gas,265051.0,automatic,black,False,2022-01-31,44
11000,2018,pickup,excellent,4.0,gas,80633.0,automatic,white,False,2023-12-15,30
3600,2017,sedan,fair,6.0,gas,128221.0,automatic,silver,False,2022-05-08,78
1400,2010,sedan,fair,6.0,gas,139375.0,manual,grey,False,2022-08-02,71
45300,2023,SUV,like new,8.0,gas,6008.0,automatic,white,False,2024-06-14,56
3100,2015,sedan,fair,,gas,92947.0,automatic,white,False,2022-02-26,76
1000,2009,sedan,fair,6.0,gas,227810.0,manual,red,False,2024-12-24,41
16600,2022,other,excellent,6.0,gas,16417.0,automatic,yellow,False,2022-06-05,55
13200,2020,SUV,good,4.0,gas,47784.0,automatic,red,False,2024-08-14,4
600,2005,sedan,fair,6.0,gas,240227.0,automatic,black,False,2022-07-21,90
25600,2024,coupe,like new,4.0,gas,0.0,automatic,silver,False,2024-10-10,8
7800,2017,sedan,good,6.0,hybrid,64506.0,automatic,silver,False,2022-01-23,65
39285,2015,truck,fair,6.0,gas,88941.0,automatic,grey,False,2024-05-27,140
5100,2015,SUV,fair,6.0,gas,105250.0,automatic,blue,True,2022-10-10,29
15200,2021,hatchback,like new,4.0,gas,21689.0,manual,grey,False,2022-05-12,49
800,2007,truck,salvage,6.0,diesel,155484.0,automatic,silver,False,2024-03-07,13
2000,2010,coupe,good,4.0,gas,203555.0,automatic,white,False,2023-12-25,57
3900,2013,coupe,good,4.0,gas,148185.0,automatic,black,False,2023-01-23,35
12397,2012,sedan,fair,6.0,gas,180871.0,automatic,white,False,2024-06-18,104
1700,2011,sedan,fair,4.0,gas,,automatic,blue,False,2023-09-15,23
3100,2011,coupe,good,4.0,gas,102894.0,automatic,grey,False,2024-03-22,80
18800,2022,coupe,excellent,4.0,gas,17878.0,other,black,False,2022-04-01,77
20400,2021,truck,good,6.0,electric,37140.0,manual,grey,True,2022-06-29,11
1400,2009,SUV,fair,6.0,gas,273191.0,automatic,black,False,2023-05-24,37
31100,2021,truck,like new,8.0,diesel,23796.0,automatic,red,False,2024-04-18,5
6700,2016,van,good,6.0,gas,107100.0,automatic,silver,True,2023-01-02,144
35300,2023,SUV,new,6.0,gas,407.0,automatic,white,False,2024-07-08,40
5300,2015,convertible,fair,6.0,gas,130249.0,automatic,blue,False,2024-07-22,113
6300,2015,convertible,good,4.0,gas,159751.0,manual,silver,False,2024-09-16,11
500,2008,sedan,salvage,4.0,diesel,172875.0,automatic,white,True,2022-10-26,85
10200,2018,SUV,good,6.0,diesel,77163.0,manual,silver,False,2022-05-10,52
3900,2014,sedan,good,6.0,gas,118605.0,automatic,silver,False,2024-12-23,3
15400,2022,sedan,excellent,4.0,gas,22922.0,automatic,silver,False,2022-01-30,66
6500,2016,offroad,good,3.0,gas,134613.0,manual,silver,True,2022-02-09,37
16100,2022,truck,excellent,6.0,gas,58922.0,automatic,white,False,2022-09-17,41
11600,2018,SUV,good,4.0,gas,58123.0,automatic,silver,False,2022-11-10,29
34100,2023,offroad,like new,4.0,gas,9344.0,automatic,white,False,2023-03-17,9
2100,2007,SUV,good,6.0,gas,248807.0,automatic,silver,True,2022-03-23,40
1200,2009,coupe,fair,4.0,gas,247343.0,automatic,black,False,2024-12-26,55
3700,2013,SUV,fair,6.0,gas,107294.0,automatic,black,False,2023-08-26,2
7000,2017,sedan,excellent,6.0,gas,98490.0,automatic,brown,False,2023-06-14,38
600,2014,sedan,salvage,6.0,gas,295229.0,manual,brown,False,2023-04-15,25
800,2003,SUV,good,8.0,gas,881575.0,automatic,blue,True,2024-01-06,6
18600,2023,coupe,excellent,6.0,gas,12939.0,automatic,white,False,2022-06-18,174
4000,2014,wagon,good,3.0,diesel,119974.0,manual,purple,False,2024-06-15,7
47300,2023,pickup,like new,6.0,diesel,8285.0,automatic,white,True,2024-09-01,148
3700,2014,van,fair,6.0,gas,102076.0,automatic,silver,False,2024-06-02,8
700,2004,coupe,fair,4.0,gas,262724.0,automatic,white,False,2022-01-03,73
6500,2018,sedan,excellent,4.0,gas,96474.0,automatic,grey,False,2022-12-22,49
11800,2020,truck,fair,6.0,diesel,56788.0,automatic,red,False,2024-08-19,50
2100,2010,sedan,good,6.0,gas,152826.0,automatic,grey,False,2022-03-16,27
16600,2022,truck,excellent,8.0,gas,123678.0,automatic,blue,False,2023-06-25,9
19800,2022,sedan,like new,4.0,gas,15617.0,manual,silver,False,2024-12-10,61
13800,2018,pickup,excellent,6.0,diesel,94187.0,automatic,black,False,2024-11-11,48
1200,2008,coupe,fair,4.0,gas,140777.0,automatic,custom,False,2023-06-02,58
5400,2015,pickup,fair,4.0,diesel,99865.0,automatic,silver,False,2024-10-20,25
901,2010,truck,fair,8.0,diesel,,automatic,red,False,2023-06-22,29
900,2006,SUV,fair,4.0,gas,253970.0,automatic,white,False,2024-06-14,26
600,2004,hatchback,fair,4.0,hybrid,252127.0,automatic,purple,False,2024-07-30,38
4900,2017,sedan,fair,4.0,gas,74622.0,automatic,white,True,2024-08-04,33
35495,2014,SUV,good,6.0,gas,93445.0,automatic,white,False,2022-10-18,20
500,2007,pickup,salvage,6.0,gas,353969.0,automatic,grey,True,2024-07-06,7
5100,2012,SUV,good,6.0,gas,148226.0,automatic,red,True,2024-05-02,42
30100,2021,truck,like new,6.0,gas,15585.0,automatic,grey,False,2024-11-10,89
900,2005,convertible,fair,6.0,gas,269331.0,automatic,grey,False,2023-06-30,22
399,2009,pickup,fair,6.0,gas,217988.0,manual,grey,False,2024-07-26,58
31300,2021,truck,like new,6.0,gas,19177.0,automatic,black,False,2024-04-08,75
1900,2009,pickup,fair,4.0,gas,211767.0,automatic,white,False,2024-09-12,46
5800,2018,sedan,good,4.0,gas,113123.0,automatic,black,False,2023-02-06,36
16100,2021,van,excellent,6.0,gas,33896.0,automatic,blue,False,2023-06-26,73
500,2004,sedan,salvage,4.0,gas,305264.0,automatic,white,False,2022-10-23,24
2400,2011,truck,fair,6.0,gas,198803.0,automatic,black,,2022-06-02,73
5300,2013,pickup,good,4.0,gas,143149.0,automatic,brown,False,2024-11-30,69
4400,2015,pickup,good,8.0,gas,328118.0,automatic,black,False,2023-02-10,20
900,1988,pickup,fair,6.0,gas,675371.0,automatic,silver,False,2023-08-10,8
1800,2008,coupe,good,4.0,gas,141990.0,automatic,silver,False,2022-08-29,90
500,2008,sedan,salvage,4.0,gas,286365.0,automatic,silver,False,2023-07-09,9
2800,2011,coupe,good,4.0,gas,142994.0,automatic,black,False,2023-05-10,2
9700,2019,sedan,good,4.0,gas,46639.0,automatic,grey,False,2022-03-26,4
1100,2006,SUV,fair,6.0,gas,188418.0,automatic,white,False,2023-12-19,8
5200,2016,sedan,good,4.0,gas,,automatic,black,False,2023-03-29,30
5100,2014,pickup,fair,8.0,gas,143551.0,automatic,,False,2022-08-10,7
4400,2012,SUV,good,6.0,gas,116902.0,automatic,white,False,2022-02-15,7
1000,2006,sedan,good,4.0,gas,283818.0,automatic,blue,False,2023-11-18,65
15500,2020,convertible,good,4.0,gas,49562.0,automatic,silver,False,2024-02-16,86
4300,2012,SUV,good,4.0,gas,113133.0,automatic,grey,True,2023-02-03,29
500,2007,van,salvage,6.0,gas,287595.0,automatic,white,False,2022-10-05,7
18000,2019,pickup,excellent,6.0,gas,58261.0,automatic,grey,False,2022-01-05,41
30200,2021,SUV,like new,6.0,gas,15660.0,automatic,white,True,2022-08-04,71
700,2005,coupe,fair,6.0,gas,,automatic,silver,False,2022-05-22,31
12400,2016,truck,excellent,6.0,diesel,103334.0,automatic,blue,False,2024-11-24,1
8700,2016,SUV,good,4.0,gas,68590.0,automatic,blue,False,2024-08-10,83
2100,2013,hatchback,fair,4.0,gas,158972.0,automatic,red,False,2024-07-11,3
7900,2019,sedan,good,4.0,gas,63822.0,automatic,custom,False,2023-04-18,2
8600,2016,truck,good,6.0,diesel,94107.0,automatic,white,False,2022-10-05,52
8600,2019,sedan,good,4.0,gas,72255.0,automatic,grey,False,2024-05-13,130
1200,2006,truck,fair,4.0,diesel,196539.0,automatic,white,False,2022-02-27,67
39844,2020,SUV,fair,8.0,gas,63315.0,automatic,black,True,2024-08-03,17
2600,2013,sedan,fair,6.0,gas,129519.0,automatic,black,False,2024-06-15,11
2000,2008,truck,fair,6.0,diesel,249250.0,automatic,,True,2024-11-05,15
24500,2022,pickup,excellent,8.0,gas,,manual,blue,False,2023-08-04,72
500,2006,sedan,salvage,6.0,gas,166175.0,other,white,False,2023-07-20,67
12500,2019,convertible,good,8.0,gas,65360.0,automatic,white,False,2023-07-21,40
3700,2011,truck,good,6.0,gas,172025.0,automatic,black,False,2023-01-26,3
6000,2015,truck,fair,4.0,gas,99532.0,automatic,white,True,2022-03-14,42
19200,2020,pickup,excellent,8.0,diesel,64030.0,automatic,red,False,2022-11-21,43
7300,2018,SUV,fair,8.0,gas,92354.0,automatic,grey,False,2022-04-01,83
13000,2017,SUV,excellent,6.0,gas,64167.0,automatic,black,False,2024-04-03,6
26600,2023,coupe,new,6.0,gas,469.0,automatic,black,False,2023-04-04,84
5700,2014,SUV,good,4.0,gas,87338.0,automatic,,False,2023-07-12,11
5800,2012,SUV,good,8.0,hybrid,143227.0,manual,white,True,2023-10-30,76
2800,2010,SUV,good,6.0,gas,158757.0,automatic,white,False,2024-06-28,11
500,1993,SUV,salvage,6.0,gas,263866.0,automatic,white,False,2024-10-20,38
9300,2018,SUV,fair,8.0,gas,82165.0,automatic,black,False,2023-07-01,84
2900,2010,truck,fair,6.0,gas,134813.0,automatic,white,False,2022-02-21,38
1200,1989,pickup,fair,6.0,gas,430104.0,automatic,black,True,2024-10-09,27
2800,2015,sedan,fair,4.0,gas,115568.0,automatic,silver,False,2023-02-14,106
2300,2009,mini-van,good,6.0,electric,179611.0,automatic,black,False,2024-10-29,70
6700,2018,van,good,4.0,gas,73238.0,manual,white,False,2022-02-27,3
1000,2007,sedan,fair,4.0,gas,135939.0,manual,yellow,False,2024-11-04,6
24800,2022,coupe,like new,6.0,gas,14701.0,automatic,red,True,2023-07-29,4
1400,1994,pickup,fair,8.0,gas,265207.0,automatic,white,False,2023-09-28,67
8500,2016,SUV,good,4.0,gas,109018.0,automatic,blue,True,2023-06-28,163
17400,2023,offroad,excellent,4.0,gas,42465.0,automatic,white,True,2023-05-26,17
1300,2010,coupe,fair,4.0,gas,208753.0,automatic,red,False,2023-02-04,51
31400,2022,pickup,excellent,6.0,diesel,25421.0,automatic,grey,True,2023-09-04,46
800,2012,truck,salvage,6.0,diesel,343640.0,automatic,blue,False,2023-02-15,2
11500,2020,van,excellent,6.0,gas,55801.0,automatic,custom,False,2024-03-05,6
7400,2017,van,good,6.0,gas,69694.0,automatic,black,False,2024-01-25,7
12200,2018,truck,good,8.0,gas,105789.0,automatic,grey,False,2023-01-22,7
2000,2010,sedan,good,6.0,gas,144843.0,automatic,black,False,2024-11-15,84
26300,2021,SUV,like new,6.0,gas,20192.0,automatic,black,False,2022-02-05,9
24700,2021,SUV,excellent,6.0,gas,36586.0,automatic,grey,False,2022-10-29,105
6000,2015,mini-van,good,4.0,gas,105267.0,automatic,black,False,2023-09-16,66
2900,2012,SUV,fair,4.0,gas,150570.0,automatic,black,False,2022-06-06,109
4100,2013,truck,good,4.0,gas,225514.0,automatic,black,False,2022-06-08,3
500,2007,SUV,salvage,6.0,gas,189015.0,automatic,grey,False,2023-09-18,13
500,1996,wagon,salvage,8.0,gas,291600.0,automatic,white,False,2024-12-06,59
600,2008,pickup,salvage,8.0,gas,223942.0,manual,grey,False,2024-04-22,41
1200,2012,truck,salvage,4.0,gas,155941.0,automatic,white,False,2023-08-17,12
10400,2017,SUV,excellent,8.0,gas,,manual,white,False,2022-04-15,73
1000,1986,pickup,fair,8.0,diesel,730013.0,automatic,silver,False,2022-04-15,137
7900,2018,truck,fair,4.0,gas,89114.0,manual,silver,True,2024-11-17,2
600,2006,sedan,fair,4.0,gas,366967.0,manual,black,False,2022-11-29,37
26300,2024,van,new,6.0,gas,62.0,automatic,white,False,2023-11-22,24
885,2017,sedan,good,6.0,gas,102833.0,automatic,white,True,2023-06-06,42
11100,2017,SUV,excellent,4.0,gas,87053.0,manual,white,True,2023-11-06,7
2800,2012,sedan,good,4.0,gas,144551.0,automatic,red,False,2022-05-23,80
47000,2023,pickup,new,8.0,diesel,130.0,automatic,silver,False,2022-09-02,2
9800,2017,truck,fair,4.0,diesel,67064.0,automatic,silver,True,2022-11-13,53
11600,2019,van,good,6.0,gas,55282.0,automatic,silver,False,2024-06-21,48
19100,2020,SUV,excellent,6.0,gas,55288.0,automatic,silver,True,2024-06-07,80
1100,2006,SUV,fair,6.0,gas,169330.0,automatic,blue,False,2024-11-29,88
9700,2020,coupe,excellent,4.0,gas,58502.0,manual,black,False,2022-03-25,58
4000,2011,SUV,good,8.0,gas,170686.0,automatic,blue,False,2022-06-24,28
4600,2018,hatchback,good,4.0,gas,113451.0,manual,silver,False,2023-01-13,41
800,1987,van,fair,4.0,gas,476418.0,automatic,black,False,2023-10-03,42
7200,2014,pickup,good,6.0,gas,126304.0,automatic,white,False,2024-06-04,29
500,2004,SUV,salvage,8.0,gas,347587.0,automatic,black,False,2024-05-10,38
31000,2023,pickup,excellent,6.0,gas,16074.0,automatic,red,False,2022-02-05,101
14700,2018,truck,good,6.0,diesel,64642.0,automatic,black,False,2024-12-25,5
1400,2008,SUV,fair,8.0,gas,166825.0,manual,grey,False,2023-10-22,54
22200,2022,pickup,like new,8.0,diesel,52324.0,manual,white,True,2024-11-26,32
46000,2023,pickup,new,6.0,gas,905.0,automatic,silver,False,2023-09-08,41
38300,2022,truck,like new,6.0,gas,18319.0,automatic,grey,True,2023-10-09,56
1500,2011,wagon,fair,6.0,gas,173632.0,automatic,green,False,2024-05-13,87
3300,2010,truck,fair,6.0,hybrid,157935.0,automatic,white,True,2024-03-18,43
8400,2019,sedan,good,4.0,gas,53257.0,automatic,black,False,2023-12-06,67
500,2000,sedan,salvage,6.0,gas,214596.0,automatic,grey,False,2023-07-27,24
14200,2019,truck,good,6.0,diesel,58484.0,automatic,brown,False,2022-04-18,59
9600,2021,sedan,good,4.0,gas,40790.0,automatic,red,False,2022-08-03,40
6300,2015,truck,fair,6.0,gas,109324.0,automatic,red,False,2024-09-23,25
700,2006,van,fair,6.0,gas,237954.0,automatic,white,False,2022-06-01,59
13100,2018,convertible,excellent,4.0,gas,76023.0,automatic,silver,False,2022-08-28,43
2300,2012,SUV,fair,8.0,gas,236819.0,manual,blue,False,2022-10-02,68
2100,2011,sedan,fair,4.0,electric,118220.0,automatic,silver,False,2023-03-31,4
7500,2014,truck,good,8.0,gas,83604.0,automatic,black,False,2024-04-10,5
25900,2024,sedan,new,4.0,gas,207.0,automatic,silver,False,2022-01-14,59
16700,2019,truck,good,8.0,gas,75445.0,automatic,grey,False,2023-01-02,87
1900,2004,SUV,good,6.0,gas,217314.0,automatic,green,True,2024-04-15,31
4300,2014,sedan,good,4.0,gas,73804.0,automatic,white,False,2024-05-31,29
1300,2006,SUV,fair,6.0,gas,162021.0,automatic,black,True,2024-04-23,51
1000,2009,truck,salvage,6.0,gas,120585.0,automatic,white,False,2024-11-17,7
8500,2016,SUV,excellent,4.0,gas,95871.0,automatic,brown,False,2023-05-02,4
2300,2013,offroad,good,4.0,gas,503009.0,automatic,white,False,2023-05-02,86
21500,2023,coupe,like new,4.0,gas,7884.0,automatic,grey,False,2023-08-27,119
500,2006,truck,salvage,4.0,gas,761717.0,automatic,green,False,2023-08-26,27
33800,2023,offroad,new,6.0,gas,271.0,automatic,silver,False,2023-02-09,40
13900,2019,SUV,good,4.0,gas,76590.0,automatic,white,True,2024-01-04,14
600,1992,sedan,fair,4.0,gas,260076.0,automatic,grey,False,2022-05-17,9
11200,2018,truck,good,4.0,gas,106235.0,automatic,silver,False,2024-01-04,73
2900,2011,sedan,good,6.0,gas,105133.0,automatic,black,False,2023-02-23,20
700,2006,sedan,fair,4.0,gas,173747.0,automatic,white,False,2024-06-13,86
946,2012,truck,fair,8.0,gas,171032.0,automatic,white,False,2023-02-22,179
4000,2012,truck,fair,6.0,gas,124341.0,automatic,white,True,2023-09-05,169
10400,2020,sedan,good,6.0,gas,36313.0,automatic,silver,False,2023-02-23,23
3600,2014,SUV,fair,8.0,gas,158337.0,automatic,white,False,2022-07-27,82
500,2008,coupe,salvage,6.0,gas,209429.0,automatic,silver,False,2024-06-15,17
7400,2016,convertible,good,8.0,gas,90960.0,automatic,red,False,2024-07-21,84
4400,2015,truck,fair,4.0,gas,129805.0,automatic,black,False,2024-08-21,85
600,2005,truck,salvage,8.0,gas,225432.0,manual,white,True,2022-05-14,6
6300,2016,van,good,6.0,gas,120994.0,automatic,black,False,2024-10-17,46
2700,2009,pickup,good,6.0,gas,241828.0,automatic,silver,True,2023-09-08,24
31700,2022,pickup,like new,6.0,diesel,19275.0,automatic,green,False,2024-07-12,56
800,2006,sedan,fair,4.0,gas,254636.0,automatic,white,False,2022-11-30,17
12700,2021,sedan,excellent,4.0,gas,29612.0,automatic,green,False,2022-04-24,46
10400,2016,truck,good,8.0,gas,,automatic,silver,False,2023-11-27,23
1400,2007,SUV,fair,6.0,gas,185514.0,automatic,black,False,2024-08-24,73
3500,2012,convertible,fair,6.0,gas,142281.0,automatic,blue,False,2024-02-18,73
14200,2019,SUV,good,8.0,gas,84358.0,automatic,silver,False,2022-05-02,9
21000,2020,truck,good,8.0,gas,40278.0,automatic,black,False,2024-07-10,66
8900,2016,offroad,excellent,6.0,gas,104328.0,automatic,red,True,2023-04-04,86
5900,2014,truck,fair,4.0,gas,71142.0,automatic,blue,True,2022-04-08,46
597,2010,pickup,good,4.0,hybrid,239003.0,manual,blue,True,2024-07-14,3
500,2007,SUV,salvage,8.0,gas,333346.0,automatic,white,False,2024-05-07,85
500,2008,SUV,salvage,6.0,gas,441694.0,automatic,black,False,2023-06-18,40
24100,2022,mini-van,like new,6.0,gas,18733.0,automatic,blue,False,2023-10-08,7
600,2007,pickup,salvage,6.0,gas,208841.0,automatic,silver,False,2023-01-28,58
1900,2014,SUV,salvage,6.0,gas,131360.0,automatic,red,False,2023-12-18,74
6300,2016,SUV,fair,6.0,gas,63396.0,automatic,red,True,2023-07-09,58
12200,2017,truck,good,6.0,diesel,62421.0,automatic,black,False,2023-01-10,34
9100,2018,truck,fair,8.0,gas,78817.0,automatic,silver,True,2022-08-15,3
3300,2014,van,fair,4.0,electric,112238.0,automatic,white,False,2024-07-12,24
18600,2021,van,like new,6.0,gas,26915.0,automatic,red,False,2024-06-12,12
36900,2022,SUV,like new,8.0,gas,10452.0,automatic,black,False,2022-01-08,65
29200,2024,wagon,new,,gas,53.0,automatic,silver,False,2023-08-29,3
800,2011,coupe,salvage,4.0,gas,,automatic,white,True,2023-04-16,30
600,2005,van,fair,6.0,gas,341918.0,automatic,purple,False,2024-06-13,10
21600,2023,coupe,excellent,4.0,gas,13278.0,automatic,silver,False,2024-04-04,121
8400,2021,sedan,excellent,4.0,gas,61045.0,manual,green,False,2022-07-26,89
31700,2022,SUV,like new,8.0,gas,19484.0,automatic,black,False,2023-10-06,19
26600,2023,wagon,excellent,6.0,hybrid,8227.0,automatic,black,False,2023-09-28,29
128,2004,van,fair,4.0,gas,260292.0,manual,white,False,2022-02-28,45
20000,2023,sedan,like new,4.0,gas,,automatic,,False,2022-08-05,1
15100,2019,convertible,excellent,6.0,hybrid,89226.0,other,brown,False,2023-08-26,19
1300,2006,truck,fair,6.0,diesel,235594.0,automatic,silver,True,2022-10-01,7
